kg,fcr
5.09,1.204500000000005
5.1,1.205000000000005
5.11,1.205500000000005
5.12,1.2060000000000048
5.13,1.2065000000000048
5.14,1.2070000000000047
5.15,1.2075000000000047
5.16,1.2080000000000046
5.17,1.2085000000000046
5.18,1.2090000000000045
5.19,1.2095000000000045
5.2,1.2100000000000044
5.21,1.2105000000000044
5.22,1.2110000000000043
5.23,1.2115000000000042
5.24,1.2120000000000042
5.25,1.2125000000000041
5.26,1.213000000000004
5.27,1.213500000000004
5.28,1.214000000000004
5.29,1.214500000000004
5.3,1.2150000000000039
5.31,1.2155000000000038
5.32,1.2160000000000037
5.33,1.2165000000000037
5.34,1.2170000000000036
5.35,1.2175000000000036
5.36,1.2180000000000035
5.37,1.2185000000000035
5.38,1.2190000000000034
5.39,1.2195000000000034
5.4,1.2200000000000033
5.41,1.2205000000000032
5.42,1.2210000000000032
5.43,1.2215000000000031
5.44,1.222000000000003
5.45,1.222500000000003
5.46,1.223000000000003
5.47,1.223500000000003
5.48,1.2240000000000029
5.49,1.2245000000000028
5.5,1.2250000000000028
5.51,1.2255000000000027
5.52,1.2260000000000026
5.53,1.2265000000000026
5.54,1.2270000000000025
5.55,1.2275000000000025
5.56,1.2280000000000024
5.57,1.2285000000000024
5.58,1.2290000000000023
5.59,1.2295000000000023
5.6,1.2300000000000022
5.61,1.2305000000000021
5.62,1.231000000000002
5.63,1.231500000000002
5.64,1.232000000000002
5.65,1.232500000000002
5.66,1.2330000000000019
5.67,1.2335000000000018
5.68,1.2340000000000018
5.69,1.2345000000000017
5.7,1.2350000000000017
5.71,1.2355000000000016
5.72,1.2360000000000015
5.73,1.2365000000000015
5.74,1.2370000000000014
5.75,1.2375000000000014
5.76,1.2380000000000013
5.77,1.2385000000000013
5.78,1.2390000000000012
5.79,1.2395000000000012
5.8,1.240000000000001
5.81,1.240500000000001
5.82,1.241000000000001
5.83,1.241500000000001
5.84,1.2420000000000009
5.85,1.2425000000000008
5.86,1.2430000000000008
5.87,1.2435000000000007
5.88,1.2440000000000007
5.89,1.2445000000000006
5.9,1.2450000000000006
5.91,1.2455000000000005
5.92,1.2460000000000004
5.93,1.2465000000000004
5.94,1.2470000000000003
5.95,1.2475000000000003
